ADV,LAT,LON,TIME,WIND,PR,STAT
1,15.00,-63.10,10/12/23Z,35,1006,TROPICAL,STORM
2,15.40,-63.40,10/13/03Z,35,1007,TROPICAL,STORM
2A,15.60,-63.60,10/13/06Z,35,1007,TROPICAL,STORM
3,15.70,-64.20,10/13/09Z,35,1006,TROPICAL,STORM
3A,15.50,-63.90,10/13/12Z,35,1006,TROPICAL,STORM
4,15.90,-64.10,10/13/15Z,35,1006,TROPICAL,STORM
4A,16.50,-63.90,10/13/18Z,35,1006,TROPICAL,STORM
5,17.30,-63.30,10/13/21Z,45,1004,TROPICAL,STORM
5A,17.90,-63.50,10/14/00Z,45,1004,TROPICAL,STORM
6,18.40,-63.60,10/14/03Z,45,1004,TROPICAL,STORM
6A,18.70,-63.60,10/14/06Z,45,1003,TROPICAL,STORM
7,19.40,-63.80,10/14/09Z,45,1003,TROPICAL,STORM
7A,19.50,-63.80,10/14/12Z,45,1003,TROPICAL,STORM
8,20.00,-64.10,10/14/15Z,50,997,TROPICAL,STORM
8A,20.30,-64.40,10/14/18Z,50,996,TROPICAL,STORM
9,20.70,-64.70,10/14/21Z,50,996,TROPICAL,STORM
9A,21.40,-64.50,10/15/00Z,55,991,TROPICAL,STORM
10,21.60,-64.80,10/15/03Z,60,989,TROPICAL,STORM
10A,22.10,-65.10,10/15/06Z,60,988,TROPICAL,STORM
11,22.50,-65.30,10/15/09Z,60,988,TROPICAL,STORM
11A,22.50,-65.50,10/15/12Z,60,985,TROPICAL,STORM
12,23.00,-65.70,10/15/15Z,60,985,TROPICAL,STORM
12A,23.50,-65.80,10/15/18Z,60,985,TROPICAL,STORM
13,24.10,-65.80,10/15/21Z,60,985,TROPICAL,STORM
13A,24.50,-65.70,10/16/00Z,75,974,HURRICANE-1
14,25.10,-65.50,10/16/03Z,75,974,HURRICANE-1
14A,25.90,-65.30,10/16/06Z,75,974,HURRICANE-1
15,26.60,-65.00,10/16/09Z,75,974,HURRICANE-1
15A,27.30,-65.00,10/16/12Z,75,974,HURRICANE-1
16,28.60,-64.50,10/16/15Z,80,971,HURRICANE-1
16A,29.50,-64.40,10/16/18Z,75,969,HURRICANE-1
17,30.60,-63.80,10/16/21Z,75,969,HURRICANE-1
17A,31.40,-63.10,10/17/00Z,75,969,HURRICANE-1
18,32.40,-62.50,10/17/03Z,75,970,HURRICANE-1
19,35.20,-60.70,10/17/09Z,70,974,HURRICANE-1
20,37.50,-59.10,10/17/15Z,65,975,HURRICANE-1
