ADV,LAT,LON,TIME,WIND,PR,STAT
1,22.30,-51.70,10/22/21Z,30,1006,TROPICAL,DEPRESSION
2,23.00,-51.80,10/23/03Z,30,1006,TROPICAL,DEPRESSION
3,24.10,-51.50,10/23/09Z,30,1006,TROPICAL,DEPRESSION
4,25.70,-51.00,10/23/15Z,30,1006,TROPICAL,DEPRESSION
5,26.30,-50.00,10/23/21Z,30,1005,TROPICAL,DEPRESSION
6,26.70,-49.20,10/24/03Z,35,1004,TROPICAL,STORM
7,27.40,-47.90,10/24/09Z,40,1003,TROPICAL,STORM
8,28.50,-45.40,10/24/15Z,45,1000,TROPICAL,STORM
9,29.60,-42.50,10/24/21Z,45,1000,TROPICAL,STORM
10,30.10,-40.30,10/25/03Z,45,1000,TROPICAL,STORM
11,30.40,-38.40,10/25/09Z,40,1002,TROPICAL,STORM
12,31.00,-36.30,10/25/15Z,35,1000,TROPICAL,STORM
