ADV,LAT,LON,TIME,WIND,PR,STAT
1,25.30,-86.50,06/05/22Z,35,1002,TROPICAL,STORM
1A,25.50,-86.50,06/06/00Z,35,1002,TROPICAL,STORM
2,26.00,-86.30,06/06/03Z,35,-,TROPICAL,STORM
2A,26.80,-86.20,06/06/06Z,40,-,TROPICAL,STORM
3,27.00,-85.90,06/06/09Z,50,997,TROPICAL,STORM
3A,27.70,-85.10,06/06/12Z,50,997,TROPICAL,STORM
4,28.20,-84.30,06/06/15Z,50,997,TROPICAL,STORM
4A,29.00,-83.60,06/06/18Z,50,994,TROPICAL,STORM
5,29.50,-83.40,06/06/21Z,55,993,TROPICAL,STORM
5A,29.80,-83.00,06/07/00Z,45,992,TROPICAL,STORM
6,30.30,-82.40,06/07/03Z,40,993,TROPICAL,STORM
6A,31.30,-81.70,06/07/06Z,40,996,TROPICAL,STORM
7,32.40,-80.70,06/07/09Z,40,996,TROPICAL,STORM
7A,33.40,-80.20,06/07/12Z,40,996,TROPICAL,STORM
8,34.40,-79.50,06/07/15Z,40,996,TROPICAL,STORM
8A,34.90,-78.90,06/07/18Z,40,996,TROPICAL,STORM
